hub_code,model_name,num_source_columns,view_collapsed,contributing_tables
HUB_LOSS_EVENT,loss_event,3,False,BJAZ_HM_HCM_EXTRACT; BJAZ_HM_INWARD_DTLS; BJAZ_TPA_CLAIM_DETAILS_WS
HUB_ORG_UNIT,org_unit,21,False,BA_HCP_PROD_8428_GPG_LOADER; BA_HCP_PROD_8432_ECP_LOADER; BA_HCP_PROD_8433_FHC_LOADER; BA_HCP_PROD_8439_CLH_LOADER; BJAZ_EHH_POL_DTLS; BJAZ_EWR_POL_DTLS; BJAZ_GPG_POL_DTLS; BJAZ_GRP_HLT_DTLS; BJAZ_HEALTH_WEBSERVICE_INFO; BJAZ_HG_POL_DTLS; BJAZ_PC_ONLINE_POL_DTLS_MV; BJAZ_TPA_CLAIM_DETAILS_WS; T_PREM_DATA_COM
HUB_PARTY,party,115,False,BA_HCP_DT_MEM; BA_HCP_DT_MEM_COV; BA_HCP_DT_POL_COV; BA_HCP_DT_PREMIUM; BA_HCP_POL_MST; BA_HCP_PP_MEM_DTLS; BA_HCP_PROD_8428_GPG_LOADER; BA_HCP_PROD_8432_ECP_LOADER; BA_HCP_PROD_8433_FHC_LOADER; BA_HCP_PROD_8439_CLH_LOADER; BA_HDFC_LEAD; BGIL_GMC_FINAL_INSTL_DATA; BJAZ_ADLD_PREM_DTLS; BJAZ_BANDHAN_MEDI_CLAM; BJAZ_CLM_PRE_AUTH_HLT_DTLS; BJAZ_ECARD_MEMBR_DEL_DTLS; BJAZ_EC_MEM_DTLS_EXTN; BJAZ_EWR_POL_DTLS; BJAZ_FLEXI_CYBER_DATA; BJAZ_GC_GROUP_GUARD_DTLS; BJAZ_GG_PREM_DTLS; BJAZ_GPG_POL_DTLS; BJAZ_GP_HOSPITAL_CASH; BJAZ_GRP_HLT_IMD_DTLS; BJAZ_GRP_TPA_EXTN; BJAZ_HAT_CASE_OCR_DTLS; BJAZ_HAT_ID_MEM_DETLS; BJAZ_HCF_MEMBER_DTLS; BJAZ_HC_PART_EXTN; BJAZ_HDFC_FLEXIPA; BJAZ_HDFC_SEC_FHPP; BJAZ_HDFC_SURK_SHOP; BJAZ_HG_POL_DTLS; BJAZ_HLT_ENSURE_MEM_DTLS; BJAZ_HM_BILL_PAYMENT; BJAZ_HM_CASHLESS_INWARD; BJAZ_HM_CLM_REGISTER; BJAZ_HM_COINSU_CLM_DTLS; BJAZ_HM_HCM_EXTRACT; BJAZ_HM_HOSPITAL_MASTER; BJAZ_HM_HOSPITAL_MASTER_EXTN; BJAZ_HM_HOSP_MASTER_EXTN1; BJAZ_HM_INVESTI_PAYMENT; BJAZ_HM_INWARD_DTLS; BJAZ_HM_MEMBER_DTLS; BJAZ_HM_POLICY_USERMAPPING; BJAZ_HM_PREAUTH_ENHANCE; BJAZ_HM_PREAUTH_QUERY; BJAZ_IHG_MEM_DTLS_EXTN; BJAZ_PC_ONLINE_POL_DTLS_MV; BJAZ_PNB_GPA_DATA; BJAZ_REMEDINET_CLAIM_DETAILS; BJAZ_RR_PREM_DTLS; BJAZ_SCR_HLTH_PORTABLE_DTLS; BJAZ_SH_MEM_DTLS_EXTN; BJAZ_SPP_MEMBER_DTLS; BJAZ_SUPER_SURAKSHA_DTLS; BJAZ_TPA_CLAIM_DETAILS_WS
HUB_PAYMENT_INSTRUMENT,payment_instrument,4,False,BJAZ_HM_HCM_EXTRACT; BJAZ_HM_INVESTI_PAYMENT; BJAZ_TPA_CLAIM_DETAILS_WS
HUB_POLICY,policy,103,False,BA_HCP_DT_MEM; BA_HCP_DT_MEM_COV; BA_HCP_DT_POL_COV; BA_HCP_DT_PREMIUM; BA_HCP_POL_MST; BA_HCP_PORT_WORDINGS; BA_HCP_PP_MEM_DTLS; BA_HCP_PRIME_RIDER_DTLS; BA_HCP_PROD_8428_GPG_LOADER; BA_HCP_PROD_8432_ECP_LOADER; BA_HCP_PROD_8433_FHC_LOADER; BA_HCP_PROD_8439_CLH_LOADER; BA_HDFC_LEAD; BGIL_GMC_FINAL_INSTL_DATA; BJAZ_ADLD_PREM_DTLS; BJAZ_BANDHAN_MEDI_CLAM; BJAZ_CARD_DTLS; BJAZ_CLM_PRE_AUTH_HLT_DTLS; BJAZ_CLM_WG_TRANS_DTLS; BJAZ_CLM_WG_TRANS_DTLS_HIST; BJAZ_CTNGY_FF_DTLS_EXTN; BJAZ_CTNGY_GC_MEM_DATA; BJAZ_CTNGY_PA_MEM_DTLS; BJAZ_ECARD_POL_DTLS_CONFIG; BJAZ_EC_MEM_DTLS_EXTN; BJAZ_EHH_POL_DTLS; BJAZ_EWR_POL_DTLS; BJAZ_FLEXI_CYBER_DATA; BJAZ_GC_GROUP_GUARD_DTLS; BJAZ_GENERIC_LOADER_LOG_TABLE; BJAZ_GG_PREM_DTLS; BJAZ_GPG_POL_DTLS; BJAZ_GP_HOSPITAL_CASH; BJAZ_GRP_HLT_CUST_DTLS; BJAZ_GRP_HLT_DTLS; BJAZ_GRP_HLT_IMD_DTLS; BJAZ_GRP_HLT_MATERNITY_DTLS; BJAZ_GRP_TPA_EXTN; BJAZ_HAT_CASE_OCR_DTLS; BJAZ_HAT_ID_MEM_DETLS; BJAZ_HCF_MEMBER_DTLS; BJAZ_HC_PART_EXTN; BJAZ_HDFC_SEC_FHPP; BJAZ_HDFC_SURK_SHOP; BJAZ_HEALTH_WEBSERVICE_INFO; BJAZ_HG_POL_DTLS; BJAZ_HLT_ENSURE_MEM_DTLS; BJAZ_HM_CASHLESS_INWARD; BJAZ_HM_CLM_REGISTER; BJAZ_HM_COINSU_CLM_DTLS; BJAZ_HM_GMC_AHC; BJAZ_HM_HCM_EXTRACT; BJAZ_HM_INWARD_DTLS; BJAZ_HM_MEMBER_DTLS; BJAZ_HM_ORPHAN_REG; BJAZ_HM_OUTWARD_DTLS; BJAZ_HM_POLICY_USERMAPPING; BJAZ_IHG_MEM_DTLS_EXTN; BJAZ_ILLNESS_BASES_EXTN; BJAZ_PA_DETL_EXTN; BJAZ_PC_ONLINE_POL_DTLS_MV; BJAZ_PMJAY_PRMBOOK_DTLS; BJAZ_PNB_GPA_DATA; BJAZ_REMEDINET_CLAIM_DETAILS; BJAZ_RR_PREM_DTLS; BJAZ_SH_MEM_DTLS_EXTN; BJAZ_SPP_MEMBER_DTLS; BJAZ_STARPKG_FF_DTLS; BJAZ_SUPER_SURAKSHA_DTLS; BJAZ_TPA_CLAIM_DETAILS_WS; BJAZ_TRV_CLM_ITRACK_DTLS; BJAZ_WS_FAMILY_DTLS_BANDHAN; STG_HCF_MEMBER_DTLS; T_PREM_DATA_COM
HUB_PRODUCT,product,45,False,BA_HCP_DT_PREMIUM; BA_HCP_PRIME_RIDER_DTLS; BA_HCP_PROD_8428_GPG_LOADER; BA_HCP_PROD_8432_ECP_LOADER; BA_HCP_PROD_8433_FHC_LOADER; BA_HCP_PROD_8439_CLH_LOADER; BJAZ_ADLD_PREM_DTLS; BJAZ_BANDHAN_MEDI_CLAM; BJAZ_CLM_PRE_AUTH_HLT_DTLS; BJAZ_CLM_WG_TRANS_DTLS; BJAZ_CLM_WG_TRANS_DTLS_HIST; BJAZ_CTNGY_FF_DTLS_EXTN; BJAZ_CTNGY_PA_MEM_DTLS; BJAZ_CTNGY_SCHEME_MST; BJAZ_EHH_POL_DTLS; BJAZ_EWR_POL_DTLS; BJAZ_FLEXI_CYBER_DATA; BJAZ_GC_GROUP_GUARD_DTLS; BJAZ_GENERIC_LOADER_LOG_TABLE; BJAZ_GG_PREM_DTLS; BJAZ_GPG_POL_DTLS; BJAZ_GP_HOSPITAL_CASH; BJAZ_GRP_HLT_CUST_DTLS; BJAZ_GRP_HLT_DTLS; BJAZ_GRP_HLT_IMD_DTLS; BJAZ_GRP_HLT_MATERNITY_DTLS; BJAZ_HAT_CASE_OCR_DTLS; BJAZ_HCP_TRANSCRIPT_URL; BJAZ_HCS_PLANSI_MAPP; BJAZ_HDFC_FLEXIPA; BJAZ_HDFC_SEC_FHPP; BJAZ_HDFC_SURK_SHOP; BJAZ_HEALTH_WEBSERVICE_INFO; BJAZ_HG_POL_DTLS; BJAZ_HM_COINSU_CLM_DTLS; BJAZ_HM_MEMBER_DTLS; BJAZ_PC_ONLINE_POL_DTLS_MV; BJAZ_PNB_GPA_DATA; BJAZ_RR_PREM_DTLS; BJAZ_SUPER_SURAKSHA_DTLS; T_PREM_DATA_COM
HUB_PROPOSAL,proposal,19,False,BA_HCP_PP_MEM_DTLS; BA_HDFC_LEAD; BJAZ_ADLD_PREM_DTLS; BJAZ_FLEXI_CYBER_DATA; BJAZ_GG_PREM_DTLS; BJAZ_GP_HOSPITAL_CASH; BJAZ_GRP_HLT_DTLS; BJAZ_HDFC_FLEXIPA; BJAZ_HDFC_SEC_FHPP; BJAZ_HG_POL_DTLS; BJAZ_PNB_GPA_DATA; BJAZ_RR_PREM_DTLS
HUB_QUOTE,quote,14,False,BJAZ_ECARD_MEMBR_DEL_DTLS; BJAZ_ECARD_POL_DTLS_CONFIG; BJAZ_EWR_POL_DTLS; BJAZ_GRP_HLT_CUST_DTLS; BJAZ_GRP_HLT_DTLS; BJAZ_GRP_HLT_IMD_DTLS; BJAZ_GRP_HLT_MATERNITY_DTLS; BJAZ_HDFC_SURK_SHOP; BJAZ_HG_POL_DTLS
HUB_REINSURANCE_TREATY,reinsurance_treaty,1,True,BJAZ_GPG_POL_DTLS
HUB_RISK_OBJECT,risk_object,5,False,BA_HCP_PROD_8428_GPG_LOADER; BA_HCP_PROD_8433_FHC_LOADER; BJAZ_CTNGY_PA_MEM_DTLS; BJAZ_EC_MEM_DTLS_EXTN; BJAZ_HCF_MEMBER_DTLS
